customer_id,age,age_group,gender,region,vehicle_type,service_type,customer_segment,vehicle_age_years,mileage_km,last_service_cost,number_of_previous_services,days_since_last_service,service_rating,waiting_time_minutes,coupon_used,service_rebooked
VS0268,67,51+,Female,North,Sedan,Brake Service,Returning,8,158769,1648.07,14,61,4,55,Yes,1
VS0269,27,26-35,Female,West,Truck,Brake Service,Returning,2,214941,1365.07,8,566,3,171,Yes,0
VS0270,67,51+,Female,North,SUV,Inspection,Fleet,17,58346,1628.65,14,163,1,123,Yes,0
VS0271,37,36-50,Female,South,Truck,Repair,Returning,15,49669,864.24,15,572,3,105,Yes,0
VS0272,18,18-25,Male,West,Hybrid,Tire Service,Returning,14,70456,477.25,8,19,3,28,No,1
VS0273,78,51+,Female,North,SUV,Brake Service,Loyal,5,72861,307.33,0,279,5,117,No,0
VS0274,35,26-35,Male,West,Hybrid,Inspection,Loyal,2,85182,1041.58,0,550,4,63,No,0
VS0275,55,51+,Female,North,Truck,Inspection,Loyal,18,183494,438.33,13,75,3,140,Yes,1
VS0276,42,36-50,Male,South,Hybrid,Repair,Loyal,5,13888,962.24,14,645,3,105,Yes,0
VS0277,74,51+,Male,South,Hybrid,Repair,Returning,10,99113,421.84,5,629,3,156,No,0
VS0278,56,51+,Male,South,Hybrid,Tire Service,Loyal,10,173546,783.58,10,65,1,134,No,0
VS0279,70,51+,Male,West,Sedan,Repair,New,17,43610,1147.17,4,249,2,145,No,0
VS0280,47,36-50,Female,North,SUV,Tire Service,Loyal,11,252386,1136.92,14,639,2,30,No,0
VS0281,65,51+,Female,South,Hybrid,Inspection,Returning,13,164660,1626.55,12,29,2,11,Yes,1
VS0282,32,26-35,Male,South,SUV,Inspection,Returning,1,37863,1560.96,10,103,3,78,Yes,1
VS0283,76,51+,Male,South,Electric,Oil Change,New,14,112918,1480.33,10,155,5,49,No,1
VS0284,72,51+,Male,East,Sedan,Inspection,New,16,86468,941.06,17,433,2,96,No,0
VS0285,24,18-25,Female,East,SUV,Repair,Returning,4,28205,71.76,15,254,4,104,Yes,1
VS0286,41,36-50,Female,North,SUV,Oil Change,New,8,20522,847.12,9,223,2,24,No,0
VS0287,40,36-50,Female,West,SUV,Inspection,Returning,13,139099,1795.58,18,77,1,72,Yes,1
VS0288,24,18-25,Male,West,Hybrid,Tire Service,New,6,245631,1124.0,15,347,5,65,Yes,0
VS0289,69,51+,Male,East,Sedan,Brake Service,Fleet,4,106327,525.49,10,272,2,31,No,0
VS0290,63,51+,Female,North,SUV,Inspection,Returning,14,87971,1278.72,17,638,5,36,No,1
VS0291,33,26-35,Male,South,Electric,Oil Change,New,10,120923,317.8,6,218,3,147,No,0
VS0292,36,36-50,Female,West,Hybrid,Tire Service,Fleet,16,197537,925.43,0,163,2,128,No,0
VS0293,21,18-25,Male,East,Truck,Tire Service,Returning,18,183605,217.12,4,56,2,17,No,0
VS0294,57,51+,Male,West,Truck,Tire Service,Returning,3,60615,388.84,15,64,5,56,Yes,1
VS0295,33,26-35,Male,North,SUV,Tire Service,Returning,16,256049,372.07,7,162,5,159,No,0
VS0296,62,51+,Female,East,Electric,Brake Service,Loyal,18,130678,1511.99,14,121,1,5,Yes,1
VS0297,63,51+,Female,North,Truck,Oil Change,New,1,151435,631.6,0,49,1,22,No,0
VS0298,41,36-50,Female,South,SUV,Brake Service,New,9,74895,601.81,2,219,3,94,Yes,0
VS0299,65,51+,Female,East,Hybrid,Tire Service,Returning,11,98569,1478.4,1,321,2,38,No,0
VS0300,75,51+,Female,East,Sedan,Brake Service,Returning,9,85087,329.41,18,421,1,76,Yes,0
VS0301,64,51+,Male,South,Truck,Inspection,Loyal,15,73210,249.01,8,141,4,66,Yes,1
VS0302,49,36-50,Male,North,Electric,Oil Change,New,11,210660,896.67,6,285,2,164,Yes,0
VS0303,78,51+,Female,East,Electric,Tire Service,Returning,6,72675,121.09,0,249,2,10,No,0
VS0304,52,51+,Male,South,Electric,Inspection,Loyal,4,230475,1514.28,15,255,3,123,No,1
VS0305,43,36-50,Male,North,Hybrid,Brake Service,Returning,6,193768,925.91,0,358,5,156,Yes,0
VS0306,47,36-50,Female,West,Sedan,Brake Service,Returning,5,9475,1793.97,15,15,4,18,Yes,1
VS0307,66,51+,Female,South,SUV,Repair,Loyal,5,245445,1415.14,4,90,3,37,Yes,0
VS0308,62,51+,Male,East,SUV,Brake Service,Loyal,10,101875,676.42,15,400,3,29,No,1
VS0309,77,51+,Male,South,SUV,Inspection,New,7,192975,956.39,13,467,1,125,No,0
VS0310,50,36-50,Female,East,Sedan,Inspection,Loyal,17,155097,1709.64,2,193,2,147,No,0
VS0311,72,51+,Female,East,Electric,Repair,Loyal,2,242923,891.23,5,24,1,74,No,0
VS0312,60,51+,Female,North,SUV,Brake Service,Returning,10,79575,355.21,12,189,4,104,Yes,0
VS0313,69,51+,Female,West,Hybrid,Inspection,Returning,8,71265,1048.52,16,72,4,157,Yes,1
VS0314,66,51+,Male,West,Hybrid,Oil Change,Loyal,1,152462,465.36,2,375,4,51,Yes,0
VS0315,57,51+,Male,North,Truck,Oil Change,Fleet,4,66193,444.21,1,25,5,79,No,0
VS0316,51,51+,Male,North,SUV,Repair,Returning,12,19258,965.5,8,226,5,99,Yes,0
VS0317,24,18-25,Male,South,Electric,Oil Change,Returning,4,121929,396.6,9,92,5,159,No,0
VS0318,76,51+,Female,East,Sedan,Inspection,New,3,153878,1703.11,6,611,4,27,Yes,0
VS0319,76,51+,Female,South,Hybrid,Tire Service,Returning,3,246032,231.06,13,113,3,110,No,1
VS0320,37,36-50,Female,East,Sedan,Inspection,Loyal,13,72390,954.13,8,86,5,132,Yes,1
VS0321,75,51+,Female,East,Truck,Repair,Returning,6,213394,790.84,8,335,1,35,No,0
VS0322,39,36-50,Male,East,Truck,Brake Service,New,14,25856,122.94,0,238,5,51,No,0
VS0323,70,51+,Female,East,Electric,Repair,Returning,4,252511,903.31,18,466,4,53,No,0
VS0324,34,26-35,Female,South,Hybrid,Oil Change,Loyal,16,159217,1452.41,11,503,1,85,Yes,0
VS0325,72,51+,Female,North,SUV,Tire Service,New,10,88724,631.7,1,558,1,106,No,0
VS0326,56,51+,Male,South,Electric,Repair,New,8,200913,1708.64,8,511,3,39,Yes,0
VS0327,39,36-50,Female,East,Truck,Repair,New,5,59786,1738.46,1,76,2,8,Yes,0
VS0328,51,51+,Female,East,Sedan,Tire Service,Returning,9,126613,932.93,6,192,2,141,No,0
VS0329,55,51+,Male,East,SUV,Tire Service,Returning,10,182279,1256.49,13,415,1,72,Yes,0
VS0330,73,51+,Male,South,SUV,Repair,Loyal,6,211861,1372.81,2,117,2,75,Yes,0
VS0331,35,26-35,Female,South,Hybrid,Brake Service,Returning,4,62538,1162.93,8,363,4,97,Yes,0
VS0332,25,18-25,Female,West,Electric,Inspection,Returning,17,134201,456.41,1,100,3,109,Yes,0
VS0333,75,51+,Female,West,Sedan,Oil Change,Fleet,11,168952,1311.67,12,516,1,56,No,0
VS0334,40,36-50,Male,North,Truck,Repair,Returning,14,31832,929.94,15,67,3,164,Yes,0
VS0335,23,18-25,Female,North,Hybrid,Inspection,New,8,87001,1758.85,7,395,1,155,No,0
VS0336,75,51+,Male,South,SUV,Inspection,Loyal,7,52605,,17,622,5,98,Yes,0
VS0337,72,51+,Male,West,Sedan,Oil Change,Loyal,4,37007,870.07,5,495,1,23,Yes,0
VS0338,39,36-50,Male,East,SUV,Tire Service,Returning,6,176561,1667.94,0,178,5,57,Yes,0
VS0339,74,51+,Male,East,Hybrid,Repair,Loyal,3,183362,838.55,14,553,3,66,No,0
VS0340,22,18-25,Female,East,Sedan,Brake Service,New,5,195475,899.08,9,79,1,134,Yes,0
VS0341,29,26-35,Male,West,Electric,Inspection,Loyal,1,82955,1129.45,9,282,4,132,Yes,0
VS0342,77,51+,Female,North,Hybrid,Inspection,Loyal,5,58512,1175.83,12,22,4,85,Yes,1
VS0343,48,36-50,Female,North,SUV,Repair,Loyal,14,204360,46.57,5,580,3,121,No,0
VS0344,72,51+,Male,West,Sedan,Tire Service,Loyal,10,243930,365.36,3,50,1,6,No,1
VS0345,45,36-50,Female,North,SUV,Oil Change,Fleet,18,221270,1718.09,1,519,5,138,Yes,0
VS0346,66,51+,Female,East,Electric,Brake Service,New,18,25643,511.14,5,614,2,105,No,0
VS0347,39,36-50,Female,South,Sedan,Oil Change,New,12,23498,260.76,12,285,3,180,Yes,0
VS0348,52,51+,Female,East,Sedan,Oil Change,New,13,104507,218.68,1,317,2,92,No,0
VS0349,64,51+,Female,North,SUV,Inspection,Fleet,10,221297,474.73,15,409,1,121,No,0
VS0350,70,51+,Female,South,Truck,Brake Service,Loyal,16,81443,1419.6,10,294,1,118,Yes,0
VS0351,75,51+,Female,West,Hybrid,Tire Service,Fleet,15,59989,1648.88,9,647,5,153,Yes,0
VS0352,24,18-25,Male,North,Electric,Tire Service,Returning,13,232393,138.72,2,128,4,111,No,0
VS0353,73,51+,Male,South,SUV,Tire Service,Loyal,6,131379,1752.8,17,285,4,53,No,0
VS0354,71,51+,Male,North,Truck,Oil Change,Returning,15,257057,1633.68,12,545,2,112,Yes,0
VS0355,18,18-25,Female,North,Truck,Repair,Loyal,1,187938,1069.98,15,396,2,88,Yes,0
VS0356,53,51+,Female,West,SUV,Oil Change,Returning,17,69760,1406.55,17,441,4,105,Yes,0
VS0357,64,51+,Male,West,Truck,Oil Change,New,15,154103,285.56,6,556,4,71,No,0
VS0358,48,36-50,Female,South,SUV,Repair,Loyal,9,192969,1561.65,8,528,4,58,No,0
VS0359,20,18-25,Female,South,Electric,Repair,Returning,9,246619,917.65,3,114,2,84,No,0
VS0360,45,36-50,Female,East,Truck,Repair,New,8,234174,889.01,16,170,5,37,No,1
